Date,Open,High,Low,Close,Adj Close,Volume
2020-06-02,26300.000000,27500.000000,26200.000000,26800.000000,26349.699219,36273900
2020-06-03,27050.000000,28900.000000,27000.000000,28900.000000,28414.414063,55934700
2020-06-04,28900.000000,29950.000000,28000.000000,28950.000000,28463.574219,47231700
2020-06-05,28950.000000,29275.000000,27925.000000,28625.000000,28144.035156,17631500
2020-06-08,28775.000000,29625.000000,28775.000000,29500.000000,29004.332031,34711500
2020-06-09,29700.000000,29975.000000,28975.000000,29025.000000,28537.314453,20022000
2020-06-10,29000.000000,29325.000000,27975.000000,29000.000000,28512.732422,23076500
2020-06-11,28750.000000,29050.000000,28025.000000,28400.000000,27922.814453,17037500
2020-06-12,28400.000000,28400.000000,27400.000000,28350.000000,27873.654297,19208800
2020-06-15,28400.000000,28550.000000,27500.000000,27500.000000,27037.937500,20168900
2020-06-16,27900.000000,28975.000000,27900.000000,28800.000000,28316.095703,18303700
2020-06-17,29000.000000,29000.000000,28400.000000,28600.000000,28119.455078,15960000
2020-06-18,28600.000000,28700.000000,27925.000000,27925.000000,27455.796875,13606400
2020-06-19,28000.000000,28250.000000,27725.000000,27875.000000,27406.636719,22014200
2020-06-22,27975.000000,28300.000000,27650.000000,27700.000000,27234.576172,10318100
2020-06-23,27850.000000,28300.000000,27600.000000,28100.000000,27627.855469,13990800
2020-06-24,28250.000000,28800.000000,28200.000000,28525.000000,28045.714844,11466600
2020-06-25,28500.000000,28725.000000,28200.000000,28625.000000,28144.035156,10283000
2020-06-26,28600.000000,28800.000000,28200.000000,28225.000000,27750.755859,11493500
2020-06-29,28200.000000,28475.000000,27925.000000,28375.000000,27898.236328,9759300
2020-06-30,28500.000000,28700.000000,28300.000000,28475.000000,27996.554688,14894800
2020-07-01,28500.000000,29000.000000,28375.000000,29000.000000,28512.732422,12791800
2020-07-02,28875.000000,29350.000000,28800.000000,29350.000000,28856.853516,15117100
2020-07-03,29350.000000,29525.000000,29200.000000,29350.000000,28856.853516,10443800
2020-07-06,29300.000000,29675.000000,29250.000000,29675.000000,29176.392578,13560000
2020-07-07,29700.000000,29975.000000,29500.000000,29950.000000,29446.771484,14833600
2020-07-08,29950.000000,31325.000000,29900.000000,31000.000000,30479.128906,21288900
2020-07-09,31050.000000,31200.000000,30150.000000,30500.000000,29987.531250,18708700
2020-07-10,30500.000000,31200.000000,30400.000000,31000.000000,30479.128906,13444800
2020-07-13,31150.000000,31200.000000,30700.000000,30875.000000,30356.228516,17201200
2020-07-14,30875.000000,31000.000000,30550.000000,31000.000000,30479.128906,9123300
2020-07-15,31000.000000,31200.000000,30750.000000,30750.000000,30233.328125,12293600
2020-07-16,30750.000000,31000.000000,30700.000000,30900.000000,30380.808594,13304100
2020-07-17,30675.000000,30900.000000,30200.000000,30600.000000,30085.849609,14669600
2020-07-20,30600.000000,30800.000000,30300.000000,30700.000000,30184.169922,11958900
2020-07-21,30500.000000,31175.000000,30500.000000,31000.000000,30479.128906,16831900
2020-07-22,31050.000000,31250.000000,30650.000000,30900.000000,30380.808594,8945100
2020-07-23,30900.000000,31075.000000,30700.000000,31000.000000,30479.128906,16805300
2020-07-24,31000.000000,31000.000000,30500.000000,30500.000000,29987.531250,11673300
2020-07-27,30500.000000,30700.000000,30000.000000,30500.000000,29987.531250,8394500
2020-07-28,30600.000000,31000.000000,30300.000000,30925.000000,30405.390625,13055800
2020-07-29,30925.000000,30925.000000,30500.000000,30675.000000,30159.589844,10052500
2020-07-30,30675.000000,31200.000000,30275.000000,31200.000000,30675.769531,16106700
2020-08-03,31100.000000,31175.000000,29125.000000,30650.000000,30135.009766,27415800
2020-08-04,30775.000000,31100.000000,30650.000000,31050.000000,30528.289063,15871400
2020-08-05,31000.000000,31100.000000,30500.000000,31025.000000,30503.708984,9878600
2020-08-06,31075.000000,31475.000000,30925.000000,31300.000000,30774.087891,11051700
2020-08-07,31325.000000,31425.000000,30800.000000,30900.000000,30380.808594,8724200
2020-08-10,30900.000000,31000.000000,30525.000000,30600.000000,30085.849609,7554900
2020-08-11,30700.000000,31000.000000,30650.000000,30875.000000,30356.228516,7759100
2020-08-12,30875.000000,31300.000000,30800.000000,31300.000000,30774.087891,7122400
2020-08-13,31300.000000,31500.000000,30900.000000,31500.000000,30970.728516,9716200
2020-08-14,31500.000000,32025.000000,31200.000000,32025.000000,31486.906250,11463200
2020-08-18,32025.000000,32125.000000,31500.000000,31800.000000,31265.687500,16312700
2020-08-19,31800.000000,32050.000000,31550.000000,31650.000000,31118.208984,11758700
2020-08-24,31700.000000,31900.000000,31400.000000,31575.000000,31044.468750,13376500
2020-08-25,31600.000000,31900.000000,31525.000000,31825.000000,31290.267578,9842200
2020-08-26,31925.000000,31950.000000,31525.000000,31700.000000,31167.367188,8596600
2020-08-27,31825.000000,33000.000000,31700.000000,33000.000000,32445.525391,13665200
2020-08-28,32800.000000,33000.000000,32125.000000,32475.000000,31929.345703,10458500
2020-08-31,32500.000000,32700.000000,31375.000000,31375.000000,30847.828125,19406400
2020-09-01,31400.000000,32600.000000,31200.000000,32600.000000,32052.246094,13489200
2020-09-02,32600.000000,32800.000000,31825.000000,32175.000000,31634.386719,13213000
2020-09-03,32325.000000,32500.000000,31500.000000,32500.000000,31953.925781,13641700
2020-09-04,32250.000000,32250.000000,31325.000000,31900.000000,31364.005859,16122700
2020-09-07,31675.000000,31800.000000,31000.000000,31425.000000,30896.988281,12849900
2020-09-08,31425.000000,31800.000000,31425.000000,31675.000000,31142.787109,7929800
2020-09-09,31500.000000,31600.000000,31050.000000,31225.000000,30700.349609,9857000
2020-09-10,31100.000000,31100.000000,29050.000000,29050.000000,28561.894531,35147000
2020-09-11,29000.000000,29875.000000,28100.000000,29525.000000,29028.914063,80606500
2020-09-14,30000.000000,30575.000000,29925.000000,30250.000000,29741.730469,27623000
2020-09-15,30200.000000,30500.000000,29300.000000,29300.000000,28807.691406,34017400
2020-09-16,29300.000000,29350.000000,28725.000000,28750.000000,28266.933594,31713100
2020-09-17,28750.000000,29275.000000,28325.000000,28775.000000,28291.513672,27759200
2020-09-18,28500.000000,28675.000000,27850.000000,28150.000000,27677.015625,63382400
2020-09-21,28200.000000,28675.000000,27975.000000,28025.000000,27554.115234,22488600
2020-09-22,27600.000000,27825.000000,27150.000000,27250.000000,26792.136719,32688500
2020-09-23,27250.000000,27925.000000,27125.000000,27525.000000,27062.517578,20103400
2020-09-24,27150.000000,27675.000000,26950.000000,27225.000000,26767.558594,17723700
2020-09-25,27400.000000,28125.000000,27300.000000,28050.000000,27578.695313,20141000
2020-09-28,28250.000000,28475.000000,27500.000000,27575.000000,27111.677734,18704400
2020-09-29,27875.000000,28175.000000,27300.000000,27525.000000,27062.517578,23555700
2020-09-30,27825.000000,27825.000000,27100.000000,27100.000000,26644.658203,21475400
2020-10-01,27425.000000,27850.000000,27400.000000,27850.000000,27382.056641,11378600
2020-10-02,27800.000000,27825.000000,27200.000000,27525.000000,27062.517578,13369600
2020-10-05,27575.000000,27800.000000,27300.000000,27600.000000,27136.255859,11658200
2020-10-06,28150.000000,28575.000000,28000.000000,28500.000000,28021.134766,28391100
2020-10-07,28000.000000,28775.000000,27900.000000,28775.000000,28291.513672,17987500
2020-10-08,28950.000000,29000.000000,28550.000000,28900.000000,28414.414063,15476900
2020-10-09,28750.000000,28875.000000,28600.000000,28875.000000,28389.833984,10850100
2020-10-12,29200.000000,29375.000000,29150.000000,29275.000000,28783.113281,16583700
2020-10-13,29200.000000,29300.000000,28850.000000,29275.000000,28783.113281,9650100
2020-10-14,29200.000000,29500.000000,29050.000000,29500.000000,29004.332031,16623500
2020-10-15,29375.000000,29400.000000,28800.000000,28925.000000,28438.994141,16413400
2020-10-16,28925.000000,28950.000000,28650.000000,28800.000000,28316.095703,17810300
2020-10-19,28750.000000,29500.000000,28550.000000,29500.000000,29004.332031,11374300
2020-10-20,29400.000000,29400.000000,28925.000000,29025.000000,28537.314453,14999100
2020-10-21,29300.000000,29325.000000,28650.000000,28900.000000,28414.414063,15588800
2020-10-22,28700.000000,29000.000000,28525.000000,29000.000000,28512.732422,19374500
2020-10-23,29200.000000,29200.000000,28750.000000,28850.000000,28365.253906,13265600
2020-10-26,28625.000000,29175.000000,28625.000000,29075.000000,28586.472656,14090500
2020-10-27,29075.000000,29150.000000,28775.000000,28950.000000,28463.574219,17896400
2020-11-02,28800.000000,29125.000000,28600.000000,29100.000000,28611.054688,30201300
2020-11-03,29200.000000,29475.000000,29175.000000,29450.000000,28955.173828,15630400
2020-11-04,29500.000000,29700.000000,28925.000000,29100.000000,28611.054688,15725200
2020-11-05,29500.000000,30900.000000,29500.000000,30750.000000,30233.328125,32218000
2020-11-06,30800.000000,31500.000000,30300.000000,31500.000000,30970.728516,27460700
2020-11-09,31500.000000,32000.000000,31075.000000,31425.000000,30896.988281,16547900
2020-11-10,31975.000000,33000.000000,31900.000000,32400.000000,31855.605469,38214700
2020-11-11,32700.000000,32825.000000,32400.000000,32700.000000,32150.564453,26276700
2020-11-12,32050.000000,32475.000000,32025.000000,32100.000000,31560.646484,16616500
2020-11-13,32100.000000,32250.000000,31600.000000,31950.000000,31413.167969,16474900
2020-11-16,32425.000000,32425.000000,31925.000000,32400.000000,31855.605469,10981000
2020-11-17,32500.000000,32825.000000,32450.000000,32750.000000,32199.724609,23956800
2020-11-18,32750.000000,32875.000000,32700.000000,32850.000000,32298.044922,19957800
2020-11-19,32600.000000,33200.000000,32575.000000,33075.000000,32519.265625,29469300
2020-11-20,33200.000000,33250.000000,32750.000000,33000.000000,32445.525391,13693700
2020-11-23,33000.000000,33050.000000,32750.000000,33000.000000,32445.525391,15053100
2020-11-24,33000.000000,33000.000000,32725.000000,32825.000000,32273.464844,14469900
2020-11-25,32900.000000,32925.000000,31900.000000,32050.000000,31511.486328,34028100
2020-11-26,31750.000000,32450.000000,31500.000000,32400.000000,31855.605469,12867800
2020-11-27,32400.000000,32450.000000,31900.000000,31925.000000,31388.587891,17472300
2020-11-30,31925.000000,32000.000000,30675.000000,31025.000000,30503.708984,78618300
2020-12-01,31100.000000,32175.000000,31100.000000,31975.000000,31437.746094,22912700
2020-12-02,32300.000000,32425.000000,31700.000000,32250.000000,31708.126953,18779500
2020-12-03,32500.000000,32625.000000,32125.000000,32300.000000,31757.287109,19642000
2020-12-04,32300.000000,32325.000000,31800.000000,31950.000000,31413.167969,12999100
2020-12-07,32500.000000,32900.000000,32400.000000,32600.000000,32052.246094,19327200
2020-12-08,32600.000000,32600.000000,32125.000000,32450.000000,31904.765625,14112300
2020-12-10,32950.000000,33000.000000,32700.000000,32875.000000,32420.537109,30284100
2020-12-11,33000.000000,33900.000000,32975.000000,33675.000000,33209.476563,42832000
2020-12-14,34000.000000,34150.000000,33975.000000,34100.000000,33628.601563,35957100
2020-12-15,34150.000000,34500.000000,33025.000000,33950.000000,33480.675781,32804900
2020-12-16,34300.000000,34750.000000,34200.000000,34750.000000,34269.617188,27734800
2020-12-17,34825.000000,35000.000000,34100.000000,34675.000000,34195.652344,18384000
2020-12-18,34675.000000,34675.000000,33775.000000,34000.000000,33529.984375,29447700
2020-12-21,34450.000000,34450.000000,34000.000000,34150.000000,33677.910156,18738500
2020-12-22,33700.000000,34100.000000,33550.000000,33575.000000,33110.859375,12358100
2020-12-23,34525.000000,34525.000000,33100.000000,33625.000000,33160.167969,15389600
2020-12-28,33950.000000,34100.000000,33300.000000,33900.000000,33431.367188,12046800
2020-12-29,33875.000000,34050.000000,33700.000000,33825.000000,33357.402344,6842500
2020-12-30,34000.000000,34000.000000,33500.000000,33850.000000,33382.058594,10535100
2021-01-04,34000.000000,34275.000000,33600.000000,34175.000000,33702.566406,9587400
2021-01-05,34300.000000,35450.000000,34250.000000,35450.000000,34959.941406,20966200
2021-01-06,35250.000000,35375.000000,34400.000000,34725.000000,34244.960938,17950700
2021-01-07,35000.000000,35250.000000,34550.000000,34825.000000,34343.578125,14272000
2021-01-08,35175.000000,35400.000000,34875.000000,35250.000000,34762.703125,15006700
2021-01-11,35750.000000,36800.000000,35725.000000,36725.000000,36217.312500,33806900
2021-01-12,36725.000000,36900.000000,35800.000000,35800.000000,35305.101563,19047000
2021-01-13,36225.000000,36375.000000,35350.000000,35600.000000,35107.867188,15316300
2021-01-14,35250.000000,35450.000000,34975.000000,35100.000000,34614.777344,17863900
2021-01-15,35475.000000,35500.000000,34200.000000,34775.000000,34294.269531,17970700
2021-01-18,34775.000000,35625.000000,34225.000000,35600.000000,35107.867188,17268600
2021-01-19,35600.000000,35600.000000,35025.000000,35475.000000,34984.593750,14755400
2021-01-20,35825.000000,36475.000000,35350.000000,35475.000000,34984.593750,21443200
2021-01-21,36400.000000,36500.000000,35300.000000,35375.000000,34885.976563,13285600
2021-01-22,35375.000000,35800.000000,35375.000000,35400.000000,34910.632813,16165800
2021-01-25,36000.000000,36000.000000,35000.000000,35175.000000,34688.742188,15367300
2021-01-26,34775.000000,35000.000000,34100.000000,34100.000000,33628.601563,19731600
2021-01-27,34100.000000,34650.000000,33525.000000,33950.000000,33480.675781,19584000
2021-01-28,33950.000000,34625.000000,33950.000000,34500.000000,34023.074219,20925400
2021-01-29,34500.000000,35000.000000,33800.000000,33800.000000,33332.750000,26552500
2021-02-01,33800.000000,34600.000000,32975.000000,34100.000000,33628.601563,22625800
2021-02-02,34825.000000,34900.000000,34000.000000,34000.000000,33529.984375,17348200
2021-02-03,35000.000000,35000.000000,34125.000000,34125.000000,33653.257813,13458200
2021-02-04,34600.000000,35000.000000,34175.000000,34275.000000,33801.183594,16190100
2021-02-05,34350.000000,34750.000000,34275.000000,34575.000000,34097.035156,10320400
2021-02-08,35250.000000,35275.000000,34400.000000,34600.000000,34121.691406,9120800
2021-02-09,35000.000000,35150.000000,34775.000000,34900.000000,34417.542969,15114800
2021-02-10,35250.000000,35250.000000,34500.000000,34600.000000,34121.691406,8996900
2021-02-11,34925.000000,34925.000000,34200.000000,34400.000000,33924.453125,7385200
2021-02-15,34150.000000,34450.000000,33600.000000,34000.000000,33529.984375,16784400
2021-02-16,34400.000000,34725.000000,34150.000000,34700.000000,34220.308594,9444200
2021-02-17,34450.000000,34800.000000,34250.000000,34500.000000,34023.074219,13202300
2021-02-18,34250.000000,34500.000000,33675.000000,33675.000000,33209.476563,18240800
2021-02-19,33900.000000,34250.000000,33800.000000,34125.000000,33653.257813,14097500
2021-02-22,34500.000000,34700.000000,33950.000000,33950.000000,33480.675781,13782600
2021-02-23,34100.000000,34225.000000,33875.000000,34125.000000,33653.257813,11672000
2021-02-24,34125.000000,34175.000000,33625.000000,33625.000000,33160.167969,14373800
2021-02-25,33700.000000,33850.000000,33400.000000,33525.000000,33061.550781,15737600
2021-02-26,33525.000000,34050.000000,33225.000000,33550.000000,33086.207031,34726300
2021-03-01,34150.000000,35225.000000,34000.000000,35225.000000,34738.050781,41107800
2021-03-02,35600.000000,35800.000000,35000.000000,35075.000000,34590.125000,16289300
2021-03-03,35325.000000,35425.000000,35000.000000,35000.000000,34516.160156,16894000
2021-03-04,34525.000000,35000.000000,33600.000000,33600.000000,33135.515625,24160500
2021-03-05,33600.000000,34625.000000,33600.000000,34000.000000,33529.984375,22374300
2021-03-08,34750.000000,34750.000000,33600.000000,33600.000000,33135.515625,18176600
2021-03-09,33500.000000,33575.000000,33000.000000,33025.000000,32568.462891,27116400
2021-03-10,33600.000000,33600.000000,33100.000000,33525.000000,33061.550781,10060400
2021-03-12,34375.000000,34400.000000,33575.000000,33825.000000,33357.402344,14865600
2021-03-15,34075.000000,34100.000000,33325.000000,33325.000000,32864.316406,11483200
